stefan-jaindl.com:80 65.155.30.101 - - [28/Dec/2020:17:08:46 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36"
stefan-jaindl.com:80 13.59.94.54 - - [28/Dec/2020:17:09:07 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
stefan-jaindl.com:80 205.169.39.137 - - [28/Dec/2020:17:18:53 +0100] "GET / HTTP/1.0" 200 15841 "-" "Apache-HttpClient/4.5.6 (Java/1.8.0_252)"
stefan-jaindl.com:80 185.152.32.70 - - [28/Dec/2020:18:00:26 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"
stefan-jaindl.com:443 138.128.136.165 - - [28/Dec/2020:18:00:28 +0100] "GET / HTTP/1.0" 200 16070 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36"
stefan-jaindl.com:80 65.154.226.165 - - [28/Dec/2020:18:22:51 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.71 Safari/537.36"
stefan-jaindl.com:443 185.220.100.247 - - [28/Dec/2020:19:09:45 +0100] "GET / HTTP/1.0" 510 142 "https://freevpn.space/web-proxy/stefan-jaindl.com" "Mozilla/5.0 (Windows NT 10.0; rv:68.0) Gecko/20100101 Firefox/68.0"
stefan-jaindl.com:80 54.221.27.173 - - [28/Dec/2020:20:11:14 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [28/Dec/2020:21:20:19 +0100] "GET / HTTP/1.0" 200 15841 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [28/Dec/2020:21:29:42 +0100] "GET / HTTP/1.0" 403 1321 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [28/Dec/2020:21:29:42 +0100] "GET /favicon.ico HTTP/1.0" 404 1352 "http://stefan-jaindl.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:80 217.149.173.85 - - [28/Dec/2020:22:27:43 +0100] "GET / HTTP/1.0" 200 256 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
stefan-jaindl.com:443 217.149.173.85 - - [28/Dec/2020:22:38:07 +0100] "GET / HTTP/1.0" 200 456 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
